fid,Longitude,Latitude,ID_SEC_COR,NAME_SEC,DEPARTEMENT,COMMUNE,ARRONDISSEMENT,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,DEPATMAN,KOMIN,SEKSYON,AWONDISMAN,PC0_12,PC12_30,PC30_60,PC_60plus,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,Elvaj_Dominant,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Rejyon_Kr,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
364,-73.62535797,18.43830624,1025-01,1ère Plaisance,Nippes,Plaisance du Sud,Anse à Veau,23.8022,61,4,5,30,810,6924,3.84,291,2.46,Nip,Plezans nan Sid,1e Plezans,Ansavo,15.5,53.6,30.9,0,70,298810,5.48,43.16,1.64,Bovin,15,0,-1,26.42,Gran Sid,1871,3.272073788,0,0,73,0.088,-1.0555,3,3
365,-74.09872693,18.58520457,811-01,1ère Basse Voldrogue,Grande Anse,Jérémie,Jérémie,31.8725,2,3,6,10,380,6069,3.78,190,2.28,Grandans,Jeremi,1e Bas Vòldwòg,Jeremi,15.8,84.2,0,0,63,798659,5.9,131.6,2.12,Bovin,58,0,-1,19.02,Gran Sid,2153,3.33304403,0,0,80,0.502,-0.2993,3,3
366,-72.34980214,19.19595497,541-06,6ème La Croix,Artibonite,Dessalines / Marchand,Dessalines,112.5136,27,4,5,110,1050,40209,4.6,357,2.55,Latibonit,Desalin / Machan,6e Lakwa,Desalin,20.4,66.6,13,0,72,1019591,6.01,25.36,1.4,Bovin,57,0,-1,21.44,Gran Nòdwès,2232,3.34869419,0,0,86,0.076,-1.1192,3,3
367,-72.44972608,19.20899012,541-04,4ème Poste Pierrot,Artibonite,Dessalines / Marchand,Dessalines,98.7697,46,3,5,20,690,34567,4.54,350,2.54,Latibonit,Desalin / Machan,4e Pòs Pyewo,Desalin,32.2,51.5,16.3,0,56,1134517,6.05,32.82,1.52,Bovin,25,0,-1,19.64,Gran Nòdwès,1611,3.20709554,0,0,72,0.875,-0.058,4,4
368,-72.34515432,19.14676736,541-05,5ème Fiéfé,Artibonite,Dessalines / Marchand,Dessalines,45.4949,43,4,5,170,1130,16534,4.22,363,2.56,Latibonit,Desalin / Machan,5e Fyefe,Desalin,12.1,57.3,30.6,0,56,399947,5.6,24.19,1.38,Bovin,43,0,-1,26.85,Gran Nòdwès,2274,3.35679046,0,0,72,0.235,-0.6289,3,3
369,-72.58934954,19.25711039,541-02,2ème Fossé Naboth,Artibonite,Dessalines / Marchand,Dessalines,61.7253,90,2,3,0,10,39087,4.59,633,2.8,Latibonit,Desalin / Machan,2e Fose Nabot,Desalin,100,0,0,0,50,635400,5.8,16.26,1.21,Bovin,13,14,1.15,1,Gran Nòdwès,829,2.918554531,0,0,0,3.978,0.5997,2,2
370,-72.51147296,19.26470613,541-03,3ème Ogé,Artibonite,Dessalines / Marchand,Dessalines,113.1913,80,2,4,10,740,63307,4.8,559,2.75,Latibonit,Desalin / Machan,3e Oje,Desalin,45.3,38.9,15.7,0,56,1913649,6.28,30.23,1.48,Bovin,9,3,0.48,15.93,Gran Nòdwès,1237,3.0923697,0,0,56,0.753,-0.1232,4,4
371,-72.58604972,19.19492621,541-01,1ère Villars,Artibonite,Dessalines / Marchand,Dessalines,37.9332,91,2,3,10,20,40168,4.6,1059,3.02,Latibonit,Desalin / Machan,1e Vila,Desalin,100,0,0,0,47,490164,5.69,12.2,1.09,Bovin,33,7,0.85,1.01,Gran Nòdwès,925,2.966141733,0,0,0,3.758,0.575,2,2
372,-72.45162965,19.49397457,512-04,4ème Puiloreau,Artibonite,Ennery,Gonaïves,45.1344,56,3,4,300,1010,16735,4.22,371,2.57,Latibonit,Ennri,4e Pilbowo,Gonayiv,6.5,90.4,3.1,0,58,130746,5.12,7.81,0.89,Caprin,50,0,-1,20.92,Gran Nòdwès,1411,3.149527014,0,0,89,0.595,-0.2255,4,4
373,-72.52273344,19.48961309,512-02,2ème Passe Reine,Artibonite,Ennery,Gonaïves,47.411,32,2,3,170,1110,11763,4.07,248,2.39,Latibonit,Ennri,2e Pas Rèn,Gonayiv,8.3,67.8,23.9,0,57,422097,5.63,35.88,1.55,Caprin,57,0,-1,25.7,Gran Nòdwès,1098,3.04060234,0,0,68,0.428,-0.3686,3,3
