fid,Longitude,Latitude,ID_SEC_COR,NAME_SEC,DEPARTEMENT,COMMUNE,ARRONDISSEMENT,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,DEPATMAN,KOMIN,SEKSYON,AWONDISMAN,PC0_12,PC12_30,PC30_60,PC_60plus,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,Elvaj_Dominant,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Rejyon_Kr,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
520,-72.59818877,18.53823131,121-02,2ème Petite Rivière,Ouest,Léogane,Léogâne,40.9246,96,3,3,0,30,74081,4.87,1810,3.26,Lwès,Leyogàn,2e Ti Rivyè,Leyogàn,100,0,0,0,41,732800,5.86,9.89,1,Bovin,0,0,-1,1.04,Gran Sid,1200,3.079181246,1,0,0,3.093,0.4904,2,2
521,-72.58630574,18.49029833,121-03,3ème Grande Rivère,Ouest,Léogane,Léogâne,36.1091,98,3,4,20,220,65999,4.82,1828,3.26,Lwès,Leyogàn,3e Gran Rivyè,Leyogàn,92,5.8,2.2,0,38,1178482,6.07,17.86,1.25,Bovin,5,0,-1,4.31,Gran Sid,1387,3.142076461,0,0,9,1.727,0.2373,2,2
522,-72.46084212,19.70588668,352-06,6ème Bras Gauche,Nord,Port Margot,Borgne,26.1916,52,4,5,60,1070,5590,3.75,213,2.33,Nò,Pò Mago,6e Ba Gòch,Obòy,18.8,52.5,28.7,0,58,421928,5.63,75.48,1.88,Bovin,0,0,-1,25.26,Gran Nòdès,2183,3.339053736,0,0,55,0.248,-0.6055,3,3
523,-72.64170222,18.47906518,121-01,1ère Dessources,Ouest,Léogane,Léogâne,40.3994,96,3,3,0,70,72022,4.86,1783,3.25,Lwès,Leyogàn,1e Desous,Leyogàn,98.2,1.8,0,0,38,1513838,6.18,21.02,1.32,Bovin,8,3,0.48,1.78,Gran Sid,1200,3.079181246,1,0,0,1.85,0.2672,2,2
524,-72.17547233,19.6569248,312-03,3ème Morne Pelé,Nord,Quartier Morin,Cap Haïtien,32.2279,80,3,4,20,550,16957,4.23,526,2.72,Nò,Katye Moren,3e Mòn Pele,Kap Ayisyen,91,4.1,5,0,51,626793,5.8,36.96,1.57,Bovin,0,0,-1,4.38,Gran Nòdès,1216,3.084933575,0,0,7,2.125,0.3274,4,4
525,-72.479886,19.77963211,352-04,4ème Haut Petit Borgne,Nord,Port Margot,Borgne,22.0048,35,4,5,30,1170,1338,3.13,61,1.79,Nò,Pò Mago,4e Wo Ti Boy,Obòy,4.2,57.1,38.6,0,78,26041,4.42,19.46,1.29,Bovin,3,0,-1,29.75,Gran Nòdès,1981,3.296884476,0,0,61,0.018,-1.7447,3,3
526,-72.44289747,19.7991071,352-05,5ème Bas Quartier,Nord,Port Margot,Borgne,28.5089,69,4,4,0,310,10048,4,352,2.55,Nò,Pò Mago,5e Ba Katye,Obòy,67.9,27.8,4.2,0,59,263273,5.42,26.2,1.42,Bovin,19,0,-1,9.79,Gran Nòdès,1700,3.230448921,1,0,5,0.878,-0.0565,4,4
527,-72.19815139,19.35928263,341-04,4ème Sanyago,Nord,"St, Raphaël",Saint Raphaël,84.0289,55,2,4,310,750,43292,4.64,515,2.71,Nò,Sen Rafayèl,4e Sanyago,Sen Rafayèl,94.1,5.8,0.1,0,55,869044,5.94,20.07,1.3,Bovin,54,0,-1,3.28,Gran Nòdès,939,2.972665592,0,0,6,1.084,0.035,4,4
528,-72.49279047,18.50703702,116-02,2ème Morne Chandelle,Ouest,Gressier,Port-au-Prince,34.8014,93,3,4,0,780,26717,4.43,768,2.89,Lwès,Gresye,2e Mòn Chandèl,Pòtoprens,19,54.1,24.5,2.3,42,1911266,6.28,71.54,1.85,Bovin,29,0,-1,25.84,Gran Sid,1664,3.221153322,1,0,54,0.691,-0.1605,4,4
529,-72.43600785,19.75979605,352-02,2ème Bas Petit Borgne,Nord,Port Margot,Borgne,8.5111,83,4,4,20,210,9384,3.97,1103,3.04,Nò,Pò Mago,2e Ba Ti Bòy,Obòy,74.8,25.2,0,0,50,219774,5.34,23.42,1.37,Bovin,0,0,-1,10.23,Gran Nòdès,1700,3.230448921,0,0,30,1.573,0.1967,4,4
530,-72.16123961,19.71825045,312-01,1ère Basse Plaine,Nord,Quartier Morin,Cap Haïtien,27.5343,95,3,4,0,20,23489,4.37,853,2.93,Nò,Katye Moren,1e Bas Plenn,Kap Ayisyen,100,0,0,0,54,264117,5.42,11.24,1.05,Bovin,0,0,-1,1,Gran Nòdès,1200,3.079181246,1,0,0,2.18,0.3385,2,2
531,-72.17350074,19.45468462,341-02,2ème Mathurin,Nord,"St, Raphaël",Saint Raphaël,37.6652,6,2,4,360,1120,4607,3.66,122,2.09,Nò,Sen Rafayèl,2e Matiren,Sen Rafayèl,3.2,59.5,37.2,0,60,324423,5.51,70.42,1.85,Bovin,93,0,-1,29.46,Gran Nòdès,1409,3.148910993,0,0,97,0.008,-2.0969,3,3
532,-72.53618809,18.50138406,116-03,3ème Petit Boucan,Ouest,Gressier,Port-au-Prince,39.8819,82,3,4,0,790,26645,4.43,668,2.82,Lwès,Gresye,3e Ti Boukan,Pòtoprens,38,52.8,6,3.2,42,262412,5.42,9.85,0.99,Bovin,1,0,-1,19.06,Gran Sid,1663,3.220892249,1,0,56,0.772,-0.1124,4,4
533,-71.91632062,18.80851464,631-02,2ème Juampas,Centre,Lascahobas,Lascahobas,77.7966,73,5,5,170,1210,38968,4.59,501,2.7,Sant,Laskawobas,2e Jwanmpa,Laskawobas,28.9,48.5,22.6,0,56,1244661,6.1,31.94,1.5,Bovin,35,1,0,22.39,Gran Nòdès,2400,3.380211242,0,0,52,0.484,-0.3152,4,4
534,-72.47059413,19.74565912,352-03,3ème Corail,Nord,Port Margot,Borgne,25.883,67,4,5,30,1000,5992,3.78,232,2.37,Nò,Pò Mago,3e Koray,Obòy,32.9,35.9,31.2,0,72,312950,5.5,52.23,1.72,Bovin,1,0,-1,23.84,Gran Nòdès,2076,3.317227349,0,0,58,0.243,-0.6144,3,3
535,-72.16743814,19.40206748,341-03,3ème Bouyaha,Nord,"St, Raphaël",Saint Raphaël,30.2056,60,2,3,340,550,10707,4.03,354,2.55,Nò,Sen Rafayèl,3e Bouyaya,Sen Rafayèl,91,8.6,0.4,0,52,199998,5.3,18.68,1.27,Bovin,77,0,-1,4.11,Gran Nòdès,851,2.92992956,0,0,13,1.247,0.0959,4,4
536,-71.94709958,18.91148884,631-03,3ème La Hoye,Centre,Lascahobas,Lascahobas,109.1377,34,3,5,160,480,28282,4.45,259,2.41,Sant,Laskawobas,3e Lawòy,Laskawobas,79.5,19.4,1.1,0,58,917874,5.96,32.45,1.51,Bovin,48,36,1.56,8.09,Gran Nòdès,2053,3.312388949,0,1,51,0.413,-0.384,1,1
537,-72.38811644,19.65874187,361-06,6ème Soufrière,Nord,Limbé,Limbé,14.4246,1,4,5,50,600,2136,3.33,148,2.17,Nò,Lenbe,6e Soufriyè,Lenbe,21,52,27,0,68,388199,5.59,181.74,2.26,Bovin,52,0,-1,24.86,Gran Nòdès,2275,3.356981401,0,0,87,0.097,-1.0132,3,3
538,-72.47717217,18.53132926,116-01,1ère Morne à Bateau,Ouest,Gressier,Port-au-Prince,14.9294,95,4,4,0,520,23263,4.37,1558,3.19,Lwès,Gresye,1e Mòn Bato,Pòtoprens,39,53.7,7.3,0,39,422054,5.63,18.14,1.26,Bovin,0,0,-1,17.82,Gran Sid,1700,3.230448921,1,0,75,1.415,0.1508,4,4
539,-72.42421261,19.70235295,361-07,7ème Ravine Desroches,Nord,Limbé,Limbé,10.8589,99,4,5,30,610,22743,4.36,2094,3.32,Nò,Lenbe,7e Ravin Dewòch,Lenbe,45.6,40.4,13.9,0,52,322108,5.51,14.16,1.15,Bovin,60,0,-1,16.89,Gran Nòdès,1718,3.235023159,0,0,56,2.21,0.3444,4,4
540,-72.49549821,19.72026542,352-01,1ère Grande Plaine N,Nord,Port Margot,Borgne,12.5001,0,5,5,110,1010,1405,3.15,112,2.05,Nò,Pò Mago,1e Gran Plenn,Obòy,0.1,44.4,55.4,0,73,75514,4.88,53.75,1.73,Bovin,70,0,-1,34.29,Gran Nòdès,2400,3.380211242,0,0,65,0.008,-2.0969,3,3
541,-72.2264353,19.45819716,341-01,1ère Bois Neuf,Nord,"St, Raphaël",Saint Raphaël,31.7056,49,2,4,390,1080,8710,3.94,275,2.44,Nò,Sen Rafayèl,1e Bwa Nèf,Sen Rafayèl,11.1,77.9,11,0,62,95548,4.98,10.97,1.04,Bovin,74,8,0.9,22.22,Gran Nòdès,1475,3.16879202,0,0,89,0.157,-0.8041,3,3
542,-71.99547555,18.86162193,631-01,1ère Petit Fond,Centre,Lascahobas,Lascahobas,68.5433,33,5,5,150,1150,15103,4.18,220,2.34,Sant,Laskawobas,1e Ti Fon,Laskawobas,22.8,53,23.3,0.9,73,843313,5.93,55.84,1.75,Bovin,82,0,-1,24.19,Gran Nòdès,2400,3.380211242,0,0,75,0.156,-0.8069,3,3
543,-72.421402,19.67666274,361-04,4ème Chabotte,Nord,Limbé,Limbé,22.4368,86,4,5,30,1080,10980,4.04,489,2.69,Nò,Lenbe,4e Chabote,Lenbe,34.1,41.5,24.4,0,56,143435,5.16,13.06,1.12,Bovin,51,0,-1,22.55,Gran Nòdès,2076,3.317227349,0,0,60,0.352,-0.4535,4,4
544,-73.98029503,18.19627544,743-02,2ème Renaudin,Sud,Roche-à-Bateau,Coteaux,7.6631,51,3,5,0,430,2569,3.41,335,2.53,Sid,Wòchabato,2e Renoden,Okoto,17.1,70.8,12,0,73,189827,5.28,73.89,1.87,Bovin,11,0,-1,21.68,Gran Sid,1720,3.235528447,1,0,93,0.575,-0.2403,3,3
545,-72.42858217,19.64112869,361-05,5ème Camp Coq,Nord,Limbé,Limbé,21.8305,79,5,5,70,910,6548,3.82,300,2.48,Nò,Lenbe,5e Kankòk,Lenbe,0,51.7,48.4,0,61,315775,5.5,48.22,1.68,Bovin,1,0,-1,32.6,Gran Nòdès,2400,3.380211242,0,0,95,0.242,-0.6162,3,3
546,-73.98205886,18.22967274,743-03,3ème Beauclos,Sud,Roche-à-Bateau,Coteaux,14.2261,0,4,5,80,880,3691,3.57,259,2.41,Sid,Wòchabato,3e Boklo,Okoto,0,53.9,46.1,0,77,227858,5.36,61.73,1.79,Bovin,100,0,-1,32.06,Gran Sid,1892,3.276921132,0,0,100,0.007,-2.1549,3,3
547,-72.37136401,19.69636542,361-03,3ème Acul Jeannot,Nord,Limbé,Limbé,23.9576,76,4,5,30,610,7948,3.9,332,2.52,Nò,Lenbe,3e Akil Jano,Lenbe,66.4,11.6,22,0,54,377108,5.58,47.45,1.68,Bovin,1,0,-1,17.18,Gran Nòdès,1723,3.236285277,0,0,60,0.626,-0.2034,4,4
548,-73.96726601,18.16963723,743-01,1ère Beaulieu,Sud,Roche-à-Bateau,Coteaux,27.5829,48,3,5,0,430,11551,4.06,419,2.62,Sid,Wòchabato,1e Bolye,Okoto,31.5,68.5,0,0,55,387627,5.59,33.56,1.53,Caprin,56,0,-1,16.61,Gran Sid,1641,3.215108581,1,0,76,0.894,-0.0487,4,4
549,-72.30331151,18.74615183,131-10,10ème des Orangers,Ouest,Croix-des-Bouquets,Croix des Bouquets,107.7991,53,3,4,0,1240,22943,4.36,213,2.33,Lwès,Kwadèboukè,10e Zoranje,Kwadèboukè,17.3,58.3,24.4,0,61,616104,5.79,26.85,1.43,Bovin,93,29,1.46,24.56,Pòtòprens,1562,3.19368103,0,0,87,0.295,-0.5302,3,3
550,-72.21750579,19.60288273,323-02,2ème Bonnet à l'Evêque,Nord,Milot,Acul du Nord,13.6433,93,3,5,60,850,11232,4.05,823,2.92,Nò,Milo,2e Bonè Levèk,Akildinò,26.5,36.6,36.9,0,58,68584,4.84,6.11,0.79,Bovin,4,0,-1,25.22,Gran Nòdès,1729,3.237794993,0,0,64,1.325,0.1222,4,4
551,-72.21352153,19.69047465,323-03,3ème Génipailler,Nord,Milot,Acul du Nord,28.7083,82,3,4,10,30,10738,4.03,374,2.57,Nò,Milo,3e Jenipaye,Akildinò,100,0,0,0,55,525339,5.72,48.92,1.69,Bovin,0,0,-1,1,Gran Nòdès,1440,3.158362492,0,0,0,1.923,0.284,4,4
552,-72.22273258,19.64020729,323-01,1ère Perches du Bonnet,Nord,Milot,Acul du Nord,27.9115,77,3,4,10,460,12766,4.11,457,2.66,Nò,Milo,1e Pèchdibonè,Akildinò,81.9,16.5,1.6,0,53,323754,5.51,25.36,1.4,Bovin,2,0,-1,6.72,Gran Nòdès,1548,3.189770956,0,0,16,2.094,0.321,4,4
553,-72.12751816,19.44398475,332-02,2ème Bailly,Nord,Bahon,Grande Rivière Du Nor,37.8649,51,2,4,110,1010,14506,4.16,383,2.58,Nò,Bawonn,2e Bayi,Gran Rivyè N?,17.5,61.2,21.3,0,53,336721,5.53,23.21,1.37,Bovin,46,0,-1,23.91,Gran Nòdès,1526,3.183554534,0,0,88,0.538,-0.2692,4,4
554,-72.15537525,19.48873338,332-03,3ème Montagne Noire,Nord,Bahon,Grande Rivière Du Nor,13.0231,30,4,4,110,1080,3320,3.52,255,2.41,Nò,Bawonn,3e Montay Nwa,Gran Rivyè N?,7.2,55.8,37,0,59,255898,5.41,77.08,1.89,Bovin,98,5,0.7,28.97,Gran Nòdès,1700,3.230448921,0,0,86,0.146,-0.8356,3,3
555,-72.09753754,19.48085705,332-01,1ère Bois Pin,Nord,Bahon,Grande Rivière Du Nor,28.3362,13,4,5,110,730,6965,3.84,246,2.39,Nò,Bawonn,1e Bwapen,Gran Rivyè N?,32.3,65.8,1.9,0,64,134958,5.13,19.38,1.29,Bovin,48,2,0.3,17.42,Gran Nòdès,1924,3.284205068,0,0,60,0.455,-0.342,3,3
556,-72.81612059,19.84152961,914-02,2ème Source Beauvoir,Nord Ouest,Chansolme,Port-de-Paix,27.3813,84,2,4,50,960,11361,4.06,415,2.62,Nòdwès,Chansòm,2e Sous Bovwa,Pòdpè,22.9,71,6.1,0,59,859245,5.93,75.63,1.88,Bovin,41,0,-1,19.28,Gran Nòdwès,1134,3.054613055,0,0,83,0.953,-0.0209,4,4
557,-72.80688322,19.87515037,914-01,1ère Chansolme,Nord Ouest,Chansolme,Port-de-Paix,26.3732,89,3,4,30,900,15978,4.2,606,2.78,Nòdwès,Chansòm,1e Chansòm,Pòdpè,12.4,82,5.6,0,65,644244,5.81,40.32,1.61,Bovin,35,0,-1,20.78,Gran Nòdwès,1377,3.13893394,0,0,62,1.001,4.00E-04,4,4
558,-72.66943031,19.63364417,521-08,8ème Ravine Gros Morne,Artibonite,Gros Morne,Gros Morne,47.8292,82,3,3,190,1000,33573,4.53,702,2.85,Latibonit,Gwo Mòn,8e Ravin Gwo Mòn,Gwo Mòn,52.4,38.1,9.5,0,49,630089,5.8,18.77,1.27,Caprin,53,0,-1,16.23,Gran Nòdwès,1200,3.079181246,0,0,74,1.836,0.2639,4,4
559,-72.76828811,19.72027951,521-06,6ème Savane Carrée,Artibonite,Gros Morne,Gros Morne,107.9088,38,2,3,130,780,34315,4.54,318,2.5,Latibonit,Gwo Mòn,6e Savann Kare,Gwo Mòn,46.3,51.9,1.9,0,55,789813,5.9,23.02,1.36,Bovin,56,0,-1,15.49,Gran Nòdwès,1189,3.075181855,0,0,55,0.682,-0.1662,4,4
560,-72.7425572,19.65104875,521-07,7ème Moulin,Artibonite,Gros Morne,Gros Morne,61.2822,46,3,3,180,960,25486,4.41,416,2.62,Latibonit,Gwo Mòn,7e Moulen,Gwo Mòn,26.4,66.6,7,0,56,460531,5.66,18.07,1.26,Caprin,43,0,-1,19.34,Gran Nòdwès,1200,3.079181246,0,0,70,0.271,-0.567,4,4
561,-72.68763362,19.75532033,521-04,4ème L'Acul,Artibonite,Gros Morne,Gros Morne,39.5717,74,3,5,210,1120,18223,4.26,461,2.66,Latibonit,Gwo Mòn,4e Lakil,Gwo Mòn,21.2,46.9,31.9,0,54,558992,5.75,30.68,1.49,Caprin,4,0,-1,25.82,Gran Nòdwès,1916,3.282395505,0,0,96,0.48,-0.3188,4,4
562,-72.71816476,19.78451817,521-05,5ème Pendu,Artibonite,Gros Morne,Gros Morne,32.0167,32,3,5,190,1090,9482,3.98,296,2.47,Latibonit,Gwo Mòn,5e Pandi,Gwo Mòn,18.8,65.6,15.6,0,70,381766,5.58,40.26,1.6,Bovin,14,0,-1,22.41,Gran Nòdwès,1912,3.281487888,0,0,87,0.234,-0.6308,3,3
563,-72.63592557,19.70663952,521-02,2ème Rivière Mancelle,Artibonite,Gros Morne,Gros Morne,39.9956,53,3,5,210,1080,18089,4.26,452,2.66,Latibonit,Gwo Mòn,2e Rivyè Mansèl,Gwo Mòn,14,60.3,25.7,0,51,451175,5.65,24.94,1.4,Bovin,11,0,-1,25.32,Gran Nòdwès,1720,3.235528447,0,0,91,0.34,-0.4685,4,4
564,-72.6722767,19.71602966,521-03,3ème Rivière Blanche,Artibonite,Gros Morne,Gros Morne,36.596,68,3,5,180,1090,29785,4.47,814,2.91,Latibonit,Gwo Mòn,3e Rivyè Blanch,Gwo Mòn,33.2,31.9,34.9,0,50,530903,5.73,17.82,1.25,Bovin,11,0,-1,24.91,Gran Nòdwès,1618,3.208978517,0,0,91,1.543,0.1884,4,4
565,-72.61182114,19.66456659,521-01,1ère Boucan Richard,Artibonite,Gros Morne,Gros Morne,32.3366,2,3,4,220,1130,7773,3.89,240,2.38,Latibonit,Gwo Mòn,1e Boukan Richa,Gwo Mòn,0.3,67.2,30.6,1.8,54,272603,5.44,35.07,1.54,Bovin,77,0,-1,29.39,Gran Nòdwès,1516,3.180699201,0,0,98,0.541,-0.2668,3,3
566,-72.69017797,19.31113894,544-01,1ère Desdunes,Artibonite,Desdunes,Dessalines,101.6623,94,1,2,0,10,38906,4.59,383,2.58,Latibonit,Dedin,1e Dedin,Desalin,.,.,.,.,58,607346,5.78,15.61,1.19,Bovin,73,0,-1,1,Gran Nòdwès,483,2.683947131,1,0,0,1.391,0.1433,4,4
567,-74.36289761,18.40890785,823-01,1ère Matador,Grande Anse,Les Irois,Anse D'Ainault,67.1986,40,3,6,0,1220,11145,4.05,166,2.22,Grandans,Lèziwa,1e Matadò,Ansdeno,6.3,49.6,44.2,0,61,662914,5.82,59.48,1.77,Bovin,45,6,0.78,30.67,Gran Sid,2014,3.304059466,1,0,98,0.11,-0.9586,3,3
568,-72.82637625,18.74686237,151-06,6ème Petite Anse,Ouest,Anse-à-Galet,La Gonave,38.9969,1,2,3,0,460,7485,3.87,192,2.28,Lwès,Ansagalè,6e Titans,Lagonav,50.4,43.5,6.1,0,71,902098,5.96,120.52,2.08,Bovin,85,2,0.3,15.66,Gran Nòdwès,893,2.950851459,1,0,64,0.226,-0.6459,3,3
569,-72.25468519,18.7166666,131-09,9ème Crochus,Ouest,Croix-des-Bouquets,Croix des Bouquets,55.8457,9,2,3,30,1160,13405,4.13,240,2.38,Lwès,Kwadèboukè,9e Kwochi,Kwadèboukè,.,.,.,.,59,377123,5.58,28.13,1.45,Bovin,100,100,2,23.98,Pòtòprens,1480,3.170261715,0,0,85,0.027,-1.5686,3,3
570,-72.24104824,18.62432921,131-02,2ème Varreux,Ouest,Croix-des-Bouquets,Croix des Bouquets,47.0378,100,3,5,20,70,151312,5.18,3217,3.51,Lwès,Kwadèboukè,2e Vare,Kwadèboukè,54.7,32.9,12.3,0,34,827158,5.92,5.47,0.74,Bovin,8,0,-1,1.17,Pòtòprens,800,2.903089987,0,0,0,4.381,0.6416,2,2
